id	text_a	text_b	label
7446	麻酱两块钱，给了一瓶盖子量！地瓜片是生的！超级大差评，说的微辣，一打开全是辣油	None	0
1166	纯肉得，有种肉夹馍的味道	None	1
1736	味道不错，速度很快。	None	1
1859	骑士太给力了，送餐快，直接到门口	None	1
5133	送餐太慢，送过来都凉了	None	0
6635	不给筷子跟餐巾纸的。也太省了吧。宫爆鸡丁量还可以。焦溜肉片做得跟锅巴一样硬咋吃啊。就这一会下次绝对不定了。	None	0
1076	快递小哥效率很高哦！谢谢了	None	1
6277	不明白为啥送餐如此慢10点订的12点40才送来，催餐还要我自己催，我要不是找到送餐人的电话，送餐人说还先送别人的，那你就不用送了，我直接退单好了，都到下午上班了，还吃啥！最后一次，如果再送晚，真心再也不订了！,不过说句实在话，饭还是不错的，稍微有点凉了，能看出是早就做出来但是送餐人太墨迹的缘故，不过餐厅你也应该主动催啊！电话打不进去，打了20遍通了居然跟我说让我自己催，你们忙~我就呵呵了！	None	0
1322	薯格很好吃。pizza还可以把	None	1
494	非常满意，送餐员态度很好	None	1
7305	卷饼的皮很硬，肉也不是肘子肉，没有以前好吃了，很失望，近期不会再点了。	None	0
7930	太慢了，昨天港丽只用了39分，你们今天用了快两个小时！！！！	None	0
3775	很好,很方便	None	1
4205	下单时专门备注了少放土豆粉，但每次都是土豆粉放最多，都没吃，浪费了	None	0
813	速度挺快的,赞一下	None	1
382	很好吃，就是叫多了	None	1
2000	好吃，希望素的品种多点啊	None	1
2911	点的时间比较早,店里给送了一份蔬菜不错	None	1
2110	点少了，没吃饱，哈哈！不错！	None	1
6415	量少到想哭	None	0
5529	量特别大但是超级难吃，一分价钱一分货	None	0
3550	纸袋包装，好高大上的感觉。分量一个女生吃正合适。味道也不错。第一次点没经验，下次会搭配汤品一起	None	1
2012	送的有点早,但是真的很不错,招牌的果然不一般~\(≧▽≦)/~	None	1
4697	没有给餐具！餐巾纸,让人怎么吃饭。。。	None	0
3768	东西很好吃，送餐速度也非常快，只是窝蛋牛肉饭上边写带汤，可是没给~~不知道是不是忘记了~	None	1
4340	送错了东西还有理了啊～错了就是错了，打电话告诉你们，你们道个歉就完了，女的接的电话不道歉态度特别恶略，很还这那那这的～实在是太恶心了！！！！！！	None	0
3252	手抓饼很好吃，要免配送费就完美了	None	1
5121	提前预定说11点45送,结果快12点半才送到,好慢啊,孜然鸡丁的味道还不错	None	0
5353	不错很好吃	None	0
2063	我只能说这么冷的天,送的很快，店里人直接送的,太温暖了,很好吃,老板人不错	None	1
2319	很快。而且我就在一楼今天第一次给我送上门了，之前两次都是自己出去拿的	None	1
6136	薯霸王还没有中暑给得多！！！简直就是骗子！！！！大骗子！！！	None	0
1268	超级准时，面好辣呀！	None	1
6811	一多半是空壳！怀疑把吃剩下的给我了	None	0
2306	超级推荐香菇肉丝～～～～～凉拌木耳味道不错～～～	None	1
1922	好吃，送餐时间太早了	None	1
767	送餐很快,味道很好	None	1
1936	一开始以为就是普通手抓饼，拿到后觉得好高大上，牛皮纸袋，锡纸包裹，重要的是肉肉好足，100个赞啊，如果要是再快一些就完美了	None	1
176	真不错，肉馅很鲜，调味也不错,像家里包的一样，陷大，好吃，吃的挺舒	None	1
7661	里面粥盒碎的，粥全撒了；只剩卷饼淹没在粥当中……	None	0
3613	挺快的,为啥没有南瓜饼卖啊	None	1
3605	忘记评价了，师傅很好！	None	1
4915	一般,没有吉野家好吃,，,饭太多菜太少	None	0
3807	很好吃，特别是很准时，量足味美，还会再买	None	1
6123	凉皮没醋，没盐，不知道怎么吃，从来没吃过甜的凉皮，真难吃	None	0
3877	煎饼很好吃！送餐很快！	None	1
6283	牛肉就那么4-5条,太少了吧,味道不错	None	0
1875	百度外卖服务赞，送餐员很好～	None	1
727	就是配送大哥忘记给我拿吸管了⋯⋯其他都很棒。	None	1
1928	羊杂味道超级正宗！最主要的是快递小哥特别好，特别贴心，还给拿了辣椒油，而且态度特别好，特别好，特别好！重要的事情要说三遍！	None	1
107	喜欢他家的土豆肉丝卷，口感偏硬，适合我的好牙口！尖椒土豆丝太油了	None	1
4463	可乐送到已经洒了一半，都没气儿了，豆腐脑也洒，红油抄手也洒了，哎！！！外送需要再专业一点	None	0
184	粥很好喝，送餐时间也很快，卷饼内容很棒，但饼皮希望能再烤熟一些就更好了	None	1
196	送来的时候粥撒了…不过小哥很帅跟客气…	None	1
7171	超级超级慢，导致退订	None	0
2827	配送员辛苦啦,服务很好	None	1
1205	挺好的,挺方便,非常好,不错	None	1
7597	基本都是肥肉，大概5~6片。有点咸，卤蛋就是乡巴佬袋装的，开始还以为是他们自己做的。,总体来说,很一般	None	0
709	很满意，送餐时间很快！	None	1
697	看着不错，饭量也还可以。	None	1
7513	味道不怎么样	None	0
4043	菜少水少,什么都给的特别少	None	0
5955	敢送餐具吗？敢送餐具吗？用手抓着吃吗？我还问了是不是齐全了，硬气的回答我齐全了。不给餐巾纸不说什么，不给勺也不说什么，中国人都使用的筷子呢？我们是在中国好吗？！顿时无语…	None	0
475	鸡肉卷肉很多呀，味道不错	None	1
